period,start,end,sma,buy,sell,cagr,max_dd,sharpe,trades,final_x
2016-2020,2016-01-04,2020-12-30,200,1,1,0.4517631749593045,-0.5479920444226352,1.0172784090296556,11,6.420887821936855
2016-2020,2016-01-04,2020-12-30,200,1,2,0.3614269801401646,-0.6718801147127205,0.8757706142101708,11,4.660286587060922
2016-2020,2016-01-04,2020-12-30,200,1,3,0.42964925192280856,-0.6208708166726926,0.9676040283392832,7,5.947593485823641
2016-2020,2016-01-04,2020-12-30,200,1,4,0.3942244886453008,-0.620870816672693,0.9128718498462883,7,5.24788242985697
2016-2020,2016-01-04,2020-12-30,200,1,5,0.45070408179061094,-0.6208708166726926,0.9871026678037234,5,6.397555400646631
2016-2020,2016-01-04,2020-12-30,200,1,6,0.43415706100899176,-0.6208708166726928,0.9642958287478794,5,6.041731752073417
2016-2020,2016-01-04,2020-12-30,200,1,7,0.43415706100899176,-0.6208708166726928,0.9642958287478794,5,6.041731752073417
2016-2020,2016-01-04,2020-12-30,200,1,8,0.4176574796999082,-0.6208708166726927,0.934200363999505,5,5.702862552530314
2016-2020,2016-01-04,2020-12-30,200,2,0,0.39241725310213305,-0.5923368091564425,0.9405692276210339,13,5.214036871692285
2016-2020,2016-01-04,2020-12-30,200,2,1,0.40156807687730955,-0.5923368091564425,0.9494218810290125,11,5.387223611902663
2016-2020,2016-01-04,2020-12-30,200,2,2,0.3143552800321048,-0.7041176620722196,0.8084578358475653,11,3.910052104363772
2016-2020,2016-01-04,2020-12-30,200,2,3,0.38650880942371124,-0.6581199915960028,0.9108328771700049,7,5.104600676765868
2016-2020,2016-01-04,2020-12-30,200,2,4,0.35215300761431334,-0.6581199915960025,0.8562504650706148,7,4.50406441981733
2016-2020,2016-01-04,2020-12-30,200,2,5,0.40692829836714495,-0.6581199915960025,0.9314408448695967,5,5.490786434148083
2016-2020,2016-01-04,2020-12-30,200,2,6,0.39088059292290733,-0.6581199915960023,0.9085035503567208,5,5.1853960873388365
2016-2020,2016-01-04,2020-12-30,200,2,7,0.39088059292290733,-0.6581199915960023,0.9085035503567208,5,5.1853960873388365
2016-2020,2016-01-04,2020-12-30,200,2,8,0.37487889543936137,-0.6581199915960024,0.8790769382424055,5,4.894557120377519
2016-2020,2016-01-04,2020-12-30,200,3,0,0.42378675100551844,-0.532098241284086,0.9928675027819701,9,5.826922900549031
2016-2020,2016-01-04,2020-12-30,200,3,1,0.4598493031574824,-0.5320982412840862,1.0420689744212523,7,6.6012817344845915
2016-2020,2016-01-04,2020-12-30,200,3,2,0.4598493031574824,-0.5320982412840862,1.0420689744212523,7,6.6012817344845915
2016-2020,2016-01-04,2020-12-30,200,3,3,0.4204694644954954,-0.6581199915960025,0.961282911555916,5,5.759513943102409
2016-2020,2016-01-04,2020-12-30,200,3,4,0.40951979229667934,-0.6581199915960024,0.9422537672598463,5,5.541423224760946
2016-2020,2016-01-04,2020-12-30,200,3,5,0.3953989555983126,-0.6581199915960024,0.9154787908130508,5,5.269971625024302
2016-2020,2016-01-04,2020-12-30,200,3,6,0.3794827561426424,-0.6581199915960025,0.8925540661257725,5,4.976862708561635
2016-2020,2016-01-04,2020-12-30,200,3,7,0.3794827561426424,-0.6581199915960025,0.8925540661257725,5,4.976862708561635
2016-2020,2016-01-04,2020-12-30,200,3,8,0.36361218762663805,-0.6581199915960025,0.8634170207781765,5,4.697719980699303
2016-2020,2016-01-04,2020-12-30,200,4,0,0.48120604085220764,-0.5320982412840862,1.0836826993691937,7,7.0972828579597955
2016-2020,2016-01-04,2020-12-30,200,4,1,0.4543978788938783,-0.5320982412840862,1.0341710415366046,7,6.479227096846706
2016-2020,2016-01-04,2020-12-30,200,4,2,0.4543978788938783,-0.5320982412840862,1.0341710415366046,7,6.479227096846706
2016-2020,2016-01-04,2020-12-30,200,4,3,0.4151650939089484,-0.6581199915960025,0.9537942680770022,5,5.653023201520594
2016-2020,2016-01-04,2020-12-30,200,4,4,0.4042563103885546,-0.6581199915960028,0.9348224796298558,5,5.4389648794121515
2016-2020,2016-01-04,2020-12-30,200,4,5,0.3901882042505509,-0.6581199915960024,0.9081680103587071,5,5.172532293857118
2016-2020,2016-01-04,2020-12-30,200,4,6,0.3743314396664861,-0.6581199915960028,0.8852519890533025,5,4.884842825317779
2016-2020,2016-01-04,2020-12-30,200,4,7,0.3743314396664861,-0.6581199915960028,0.8852519890533025,5,4.884842825317779
2016-2020,2016-01-04,2020-12-30,200,4,8,0.35852013562531404,-0.6581199915960028,0.856253121585539,5,4.610861317028997
2016-2020,2016-01-04,2020-12-30,200,5,0,0.45410813901749547,-0.532098241284086,1.0447415256352166,7,6.472790832773626
2016-2020,2016-01-04,2020-12-30,200,5,1,0.4277904185784953,-0.5320982412840862,0.9958392253607462,7,5.909117981523363
2016-2020,2016-01-04,2020-12-30,200,5,2,0.4277904185784953,-0.5320982412840862,0.9958392253607462,7,5.909117981523363
2016-2020,2016-01-04,2020-12-30,200,5,3,0.3992501290962853,-0.6581199915960023,0.9314656033160428,5,5.342926002989776
2016-2020,2016-01-04,2020-12-30,200,5,4,0.38846402589539886,-0.6581199915960025,0.912646952509684,5,5.140609873269681
2016-2020,2016-01-04,2020-12-30,200,5,5,0.37455412985961556,-0.6581199915960027,0.8863245937504327,5,4.888792475983404
2016-2020,2016-01-04,2020-12-30,200,5,6,0.35887569065361813,-0.6581199915960025,0.863418664411915,5,4.616884244325764
2016-2020,2016-01-04,2020-12-30,200,5,7,0.35887569065361813,-0.6581199915960025,0.863418664411915,5,4.616884244325764
2016-2020,2016-01-04,2020-12-30,200,5,8,0.34324220074066414,-0.6581199915960025,0.8348040996650792,5,4.3579320212779775
2016-2020,2016-01-04,2020-12-30,200,6,0,0.4398100897990642,-0.5320982412840859,1.0241215175450082,7,6.161465840429796
2016-2020,2016-01-04,2020-12-30,200,6,1,0.41375114795572565,-0.5320982412840859,0.9755117845518533,7,5.62490423850517
2016-2020,2016-01-04,2020-12-30,200,6,2,0.41375114795572565,-0.5320982412840859,0.9755117845518533,7,5.62490423850517
2016-2020,2016-01-04,2020-12-30,200,6,3,0.3992501290962853,-0.6581199915960023,0.9314656033160428,5,5.342926002989776
2016-2020,2016-01-04,2020-12-30,200,6,4,0.38846402589539886,-0.6581199915960025,0.912646952509684,5,5.140609873269681
2016-2020,2016-01-04,2020-12-30,200,6,5,0.37455412985961556,-0.6581199915960027,0.8863245937504327,5,4.888792475983404
2016-2020,2016-01-04,2020-12-30,200,6,6,0.35887569065361813,-0.6581199915960025,0.863418664411915,5,4.616884244325764
2016-2020,2016-01-04,2020-12-30,200,6,7,0.35887569065361813,-0.6581199915960025,0.863418664411915,5,4.616884244325764
2016-2020,2016-01-04,2020-12-30,200,6,8,0.34324220074066414,-0.6581199915960025,0.8348040996650792,5,4.3579320212779775
2016-2020,2016-01-04,2020-12-30,200,7,0,0.41268775441533645,-0.5516583177965695,0.986044516198278,7,5.603830436546155
2016-2020,2016-01-04,2020-12-30,200,7,1,0.38711969631105925,-0.5516583177965695,0.9377541910067813,7,5.1158296403366705
2016-2020,2016-01-04,2020-12-30,200,7,2,0.38711969631105925,-0.5516583177965695,0.9377541910067813,7,5.1158296403366705
2016-2020,2016-01-04,2020-12-30,200,7,3,0.3728918395163232,-0.6724118787238105,0.8952666068447143,5,4.859371476070598
2016-2020,2016-01-04,2020-12-30,200,7,4,0.36230891888136774,-0.6724118787238105,0.8766031577957135,5,4.675365702949157
2016-2020,2016-01-04,2020-12-30,200,7,5,0.34866104966989186,-0.6724118787238105,0.8506790448636136,5,4.446338709712399
2016-2020,2016-01-04,2020-12-30,200,7,6,0.333277952113082,-0.6724118787238105,0.8277049816716382,5,4.199039176781083
2016-2020,2016-01-04,2020-12-30,200,7,7,0.333277952113082,-0.6724118787238105,0.8277049816716382,5,4.199039176781083
2016-2020,2016-01-04,2020-12-30,200,7,8,0.3179389571197293,-0.6724118787238105,0.7995712166734649,5,3.9635230858527444
2016-2020,2016-01-04,2020-12-30,200,8,0,0.3724647192518902,-0.5220426867140326,0.9323495381217584,7,4.851834751216107
2016-2020,2016-01-04,2020-12-30,200,8,1,0.3476246528053406,-0.5546965927481378,0.8838282044687931,7,4.429320321402334
2016-2020,2016-01-04,2020-12-30,200,8,2,0.3476246528053406,-0.5546965927481378,0.8838282044687931,7,4.429320321402334
2016-2020,2016-01-04,2020-12-30,200,8,3,0.34412266477820075,-0.6507727375691074,0.8584558790984211,5,4.372200036931315
2016-2020,2016-01-04,2020-12-30,200,8,4,0.33376151098912676,-0.6507727375691075,0.8396747116302116,5,4.206641579011626
2016-2020,2016-01-04,2020-12-30,200,8,5,0.3203996351260323,-0.6507727375691075,0.813744735284513,5,4.000575458481632
2016-2020,2016-01-04,2020-12-30,200,8,6,0.30533889291353034,-0.6507727375691076,0.7904469557655144,5,3.7780686934936316
2016-2020,2016-01-04,2020-12-30,200,8,7,0.30533889291353034,-0.6507727375691076,0.7904469557655144,5,3.7780686934936316
2016-2020,2016-01-04,2020-12-30,200,8,8,0.29032132908800135,-0.6507727375691075,0.762387878568755,5,3.56616403328695
2016-2020,2016-01-04,2020-12-30,225,0,0,0.4068873075671178,-0.5671921340672814,0.952100502269821,19,5.489988472723412
2016-2020,2016-01-04,2020-12-30,225,0,1,0.4287835200055137,-0.5479920444226353,0.9808436484744485,15,5.929649087380121
2016-2020,2016-01-04,2020-12-30,225,0,2,0.3641036927914014,-0.6208708166726928,0.8730297150734891,13,4.706172665062796
2016-2020,2016-01-04,2020-12-30,225,0,3,0.4054303092974476,-0.6208708166726927,0.9288306378150808,9,5.461685477745768
2016-2020,2016-01-04,2020-12-30,225,0,4,0.3640642971816921,-0.6208708166726926,0.8676132624105581,9,4.705494709178389
2016-2020,2016-01-04,2020-12-30,225,0,5,0.40443158658020995,-0.6208708166726928,0.9229940704143927,7,5.442352221410267
2016-2020,2016-01-04,2020-12-30,225,0,6,0.36645561914699787,-0.6208708166726926,0.8681227039325053,7,4.746788516484078
2016-2020,2016-01-04,2020-12-30,225,0,7,0.430168728601362,-0.6208708166726928,0.9529105956520596,5,5.958381727595285
2016-2020,2016-01-04,2020-12-30,225,0,8,0.41340663651555665,-0.6208708166726926,0.9295818870477707,5,5.618069956246794
2016-2020,2016-01-04,2020-12-30,225,1,0,0.46705355240063895,-0.5479920444226354,1.0434155671681045,13,6.765393997847888
2016-2020,2016-01-04,2020-12-30,225,1,1,0.476604296791566,-0.5479920444226352,1.053681630116325,11,6.987971169881109
2016-2020,2016-01-04,2020-12-30,225,1,2,0.4254202165066472,-0.6208708166726927,0.9639660246813013,9,5.860346717451497
2016-2020,2016-01-04,2020-12-30,225,1,3,0.43528210380040155,-0.6208708166726926,0.9726361141267312,7,6.065411185446195
2016-2020,2016-01-04,2020-12-30,225,1,4,0.41808106593100947,-0.6208708166726928,0.9469212141552994,7,5.711367670601073
2016-2020,2016-01-04,2020-12-30,225,1,5,0.46004689473927596,-0.6208708166726926,1.0026234128824567,5,6.60573998069883
2016-2020,2016-01-04,2020-12-30,225,1,6,0.4433933079653498,-0.6208708166726928,0.9796469143087772,5,6.238337378570435
2016-2020,2016-01-04,2020-12-30,225,1,7,0.4267874661832751,-0.6208708166726926,0.948967300706453,5,5.888440944782151
2016-2020,2016-01-04,2020-12-30,225,1,8,0.4100650037096154,-0.6208708166726926,0.9256127414335973,5,5.552123827146147
2016-2020,2016-01-04,2020-12-30,225,2,0,0.4356724790945785,-0.5479920444226349,1.0001255192400789,11,6.073644960663232
2016-2020,2016-01-04,2020-12-30,225,2,1,0.41674224274134963,-0.5479920444226352,0.9714748308461897,11,5.684520237011957
2016-2020,2016-01-04,2020-12-30,225,2,2,0.36763318295256786,-0.6208708166726926,0.8842505818400415,9,4.767229100034543
2016-2020,2016-01-04,2020-12-30,225,2,3,0.39879056294207893,-0.6208708166726926,0.9241197888720344,7,5.334178068118265
2016-2020,2016-01-04,2020-12-30,225,2,4,0.3820268553888353,-0.6208708166726926,0.8984904119423932,7,5.022817289053891
2016-2020,2016-01-04,2020-12-30,225,2,5,0.43801232626813147,-0.6208708166726928,0.9732935709382484,5,6.123184408863315
2016-2020,2016-01-04,2020-12-30,225,2,6,0.4216100701873373,-0.6208708166726927,0.9503368204763939,5,5.782620915340757
2016-2020,2016-01-04,2020-12-30,225,2,7,0.405254838545996,-0.6208708166726928,0.9201789696096997,5,5.458284747954608
2016-2020,2016-01-04,2020-12-30,225,2,8,0.3887847462158638,-0.6208708166726927,0.8968671131470531,5,5.1465359147944
2016-2020,2016-01-04,2020-12-30,225,3,0,0.47132781113376687,-0.5479920444226352,1.0557372095581865,9,6.8642924154562435
2016-2020,2016-01-04,2020-12-30,225,3,1,0.4519274370070665,-0.5479920444226352,1.0267415446501145,9,6.424512693966828
2016-2020,2016-01-04,2020-12-30,225,3,2,0.4015987398299541,-0.6208708166726927,0.9363177623536322,7,5.387811563904117
2016-2020,2016-01-04,2020-12-30,225,3,3,0.4411414920896197,-0.6208708166726928,0.9864519486897365,5,6.18993975207757
2016-2020,2016-01-04,2020-12-30,225,3,4,0.4411414920896197,-0.6208708166726928,0.9864519486897365,5,6.18993975207757
2016-2020,2016-01-04,2020-12-30,225,3,5,0.42670386320334597,-0.6208708166726928,0.9589288249582862,5,5.886719987078059
2016-2020,2016-01-04,2020-12-30,225,3,6,0.4104305937130557,-0.6208708166726928,0.9359348321258905,5,5.559308334852384
2016-2020,2016-01-04,2020-12-30,225,3,7,0.3942039788641811,-0.6208708166726928,0.9059438461273052,5,5.247497343773848
2016-2020,2016-01-04,2020-12-30,225,3,8,0.37786340658571205,-0.6208708166726926,0.8826063215341569,5,4.947787590715303
2016-2020,2016-01-04,2020-12-30,225,4,0,0.4597302259787821,-0.5320982412840861,1.0480613117489754,7,6.598596165685188
2016-2020,2016-01-04,2020-12-30,225,4,1,0.4404827732400083,-0.532098241284086,1.0185898072661692,7,6.1758390032088535
2016-2020,2016-01-04,2020-12-30,225,4,2,0.3526589074221491,-0.6581199915960027,0.8676916495592093,7,4.512476927022424
2016-2020,2016-01-04,2020-12-30,225,4,3,0.40080678826591654,-0.6581199915960025,0.9330583289817646,5,5.372642593173427
2016-2020,2016-01-04,2020-12-30,225,4,4,0.40080678826591654,-0.6581199915960025,0.9330583289817646,5,5.372642593173427
2016-2020,2016-01-04,2020-12-30,225,4,5,0.3867732400949937,-0.6581199915960025,0.9061379476781042,5,5.109458864449487
2016-2020,2016-01-04,2020-12-30,225,4,6,0.3709554272748061,-0.6581199915960025,0.8830576685833625,5,4.8252774574077515
2016-2020,2016-01-04,2020-12-30,225,4,7,0.35518296332477317,-0.6581199915960023,0.8537911314669624,5,4.55463685688722
2016-2020,2016-01-04,2020-12-30,225,4,8,0.33929973138851066,-0.6581199915960027,0.8304102446593982,5,4.294499690878217
2016-2020,2016-01-04,2020-12-30,225,5,0,0.45098626847228696,-0.5320982412840861,1.035248499453898,7,6.403765497118486
2016-2020,2016-01-04,2020-12-30,225,5,1,0.43185411026250287,-0.5320982412840862,1.0058008998803452,7,5.993490695819973
2016-2020,2016-01-04,2020-12-30,225,5,2,0.3445563198365904,-0.6581199915960025,0.8555215027149929,7,4.379241178916566
2016-2020,2016-01-04,2020-12-30,225,5,3,0.39241578915291675,-0.6581199915960027,0.921041778582745,5,5.2140095260611625
2016-2020,2016-01-04,2020-12-30,225,5,4,0.39241578915291675,-0.6581199915960027,0.921041778582745,5,5.2140095260611625
2016-2020,2016-01-04,2020-12-30,225,5,5,0.37846630360307754,-0.6581199915960025,0.8943186200135615,5,4.958596580778968
2016-2020,2016-01-04,2020-12-30,225,5,6,0.3627432413612399,-0.6581199915960025,0.8712523424088018,5,4.682805936277933
2016-2020,2016-01-04,2020-12-30,225,5,7,0.3470652563444354,-0.6581199915960025,0.8422118239156893,5,4.420156291381404
2016-2020,2016-01-04,2020-12-30,225,5,8,0.33127716685480113,-0.6581199915960027,0.818854329030874,5,4.167699955764198
2016-2020,2016-01-04,2020-12-30,225,6,0,0.4237854865763979,-0.5320982412840862,0.9958945471357149,7,5.826897087090696
