sma,buy,sell,score,avg_cagr,median_cagr,p25_cagr,win_rate_cagr_gt_30,avg_sharpe,avg_dd,worst_dd
125,7,5,0.3792138360894479,0.33325540525660946,0.3497911892605756,0.29024896929869204,0.69,0.9045727722408955,-0.45212708169514754,-0.5157262142629948
125,5,5,0.3787720859097953,0.3404091277806161,0.3451165480916203,0.29778417418598435,0.74,0.8900449589693357,-0.49001840128666385,-0.5220426867140329
150,1,1,0.37870515971676216,0.3443430455205457,0.36075220852591117,0.29199317542192005,0.73,0.8935480799320195,-0.48187759129483126,-0.5320982412840864
150,8,3,0.37842414829112986,0.33361267135738726,0.348149722728335,0.2874249879506381,0.71,0.9187588599843916,-0.4398444165573106,-0.5157262142629947
125,2,4,0.37838280679317804,0.3503203545797308,0.3557875789151015,0.3020463165638978,0.75,0.8942777582698617,-0.5245315579590477,-0.5678759609750852
175,3,2,0.37782967793688543,0.34931872158352617,0.37442665812216425,0.2871979395355111,0.72,0.9029880131640546,-0.4953900738841574,-0.5320982412840864
175,3,3,0.3771232562632828,0.3425232580942847,0.3577349524388673,0.2930964926672748,0.73,0.8920634484578015,-0.49446434588175836,-0.5320982412840864
100,1,7,0.3765837976193567,0.3602048084422645,0.3575479853042025,0.31258902450502424,0.76,0.8961604318258061,-0.575696107416912,-0.637563233981735
150,2,3,0.3764558784618227,0.3510339555807171,0.36638902464774525,0.2914870823524003,0.72,0.8983655754875882,-0.5002155361291225,-0.5511074422080073
100,2,7,0.375093551584333,0.3558732641828706,0.3484142969541557,0.31298206382008487,0.76,0.8919718787158611,-0.576899895558947,-0.6196327899990154
125,1,5,0.3750469705720456,0.35400006445509624,0.3561828993067042,0.3073354625071436,0.76,0.8992928764514372,-0.5470044928498249,-0.6325539766658039
150,7,2,0.37491489611628515,0.3213585487380863,0.3403998541890514,0.28600806742524165,0.71,0.8940281888326951,-0.4344023731424966,-0.4962709060464048
150,0,3,0.374630036580808,0.3477931308728301,0.35664410721119544,0.29566980819925903,0.73,0.8925657387930822,-0.5085145350129623,-0.5624872404426049
150,3,1,0.37412091388496227,0.348510359156278,0.3686170355622034,0.28428092555825435,0.71,0.9023996890979966,-0.48465104266245257,-0.5320982412840864
125,8,6,0.37392617599941524,0.3363139245799461,0.34389278424637126,0.2890217259675516,0.67,0.9116696559253407,-0.4637610281825742,-0.5274027354648465
125,1,6,0.3729057958231451,0.355151189230365,0.3610723550804318,0.3081902784775423,0.75,0.8972869539311259,-0.5721565752559133,-0.6478397421632879
100,1,4,0.3703888228535522,0.35914925060083647,0.37495370299133035,0.28753662292491855,0.71,0.9062279283601439,-0.5120080178500663,-0.5943886824513556
125,7,4,0.3690345730022044,0.31624326010507475,0.3225600166088436,0.2912406147097739,0.68,0.8780476419400199,-0.4481103120797236,-0.5157262142629948
150,7,4,0.3669639400609229,0.3271368677278746,0.34141604685413207,0.27843915020725296,0.71,0.8937935368401543,-0.4403934907320675,-0.49627090604640467
100,0,4,0.3661629857688755,0.35523627510139677,0.36596336449931277,0.29375659173618884,0.73,0.8987107800222662,-0.5389810871582804,-0.6289991548486042
150,0,2,0.3660422565038053,0.3415705469245762,0.35389039840124803,0.28704951300443304,0.71,0.8854070315716733,-0.5045301242668276,-0.5515784355477913
175,8,3,0.3656557879139121,0.3193127308536995,0.3413891394452673,0.2819497889018139,0.66,0.8854204574020389,-0.45341306428754274,-0.522042686714033
125,5,4,0.36492448582321924,0.328373745165969,0.34307856414810156,0.28443779098981836,0.69,0.8730090623812572,-0.476893824479433,-0.5220426867140329
125,8,5,0.36429158946708556,0.3254915348411883,0.34356480673129064,0.2798486558801132,0.65,0.8975759326116044,-0.45725458192852564,-0.5274027354648465
200,5,0,0.36325622959078957,0.3218566160672619,0.34333685299580585,0.28071892880055205,0.65,0.8838043652188127,-0.4593760237282577,-0.5320982412840863
100,2,6,0.3630802221718149,0.34046756124313027,0.3522811253403575,0.29524597413051734,0.73,0.8741547283017321,-0.5445787528968175,-0.6004707374434803
150,6,3,0.36295882593288464,0.3249536051412184,0.3336178061593009,0.2847425512981532,0.67,0.8759657293832024,-0.4701912266689727,-0.5220426867140329
200,1,0,0.3629395816607653,0.3313921252397877,0.34623507483742233,0.2844446841046193,0.69,0.8815103433633026,-0.486741680531271,-0.5479920444226354
150,1,0,0.36249767643591474,0.33894106167580795,0.36031439414626343,0.27603281662397894,0.68,0.8887226549354641,-0.47944305338070775,-0.5320982412840862
100,1,8,0.3620110727325062,0.3472556539439971,0.34258714247003064,0.3068988468485081,0.75,0.8703995417083012,-0.5927402856340663,-0.6329640304108877
125,2,6,0.3617532878852844,0.35455912593468747,0.3488268003942745,0.29959960559728094,0.74,0.8946804177226778,-0.5687287421323355,-0.632626822119266
