sma,buy,sell,avg_rank_pct,median_rank_pct,top_10_rate,top_25_rate,avg_cagr,median_cagr,p25_cagr,avg_dd,worst_dd,beat_200_5_3_rate,score
200,7,1,0.5313538315489689,0.5265017667844523,0.0,0.041044776119402986,0.2977459937994911,0.29649047944600193,0.23611553026377474,-0.5058792364075616,-0.5516583177965695,0.04291044776119403,-0.6349988884431216
150,0,7,0.5590521333263013,0.4840989399293286,0.03171641791044776,0.20522388059701493,0.30222112646536964,0.2917592665136868,0.23162295636962416,-0.6375828314463351,-0.7486447149720921,0.47761194029850745,-0.6389616282024648
250,3,6,0.5312944992352724,0.5388692579505301,0.013059701492537313,0.027985074626865673,0.3125808431975826,0.30833340723713754,0.2469692805435233,-0.5932138138005756,-0.6230867812125795,0.23134328358208955,-0.6404674287863908
250,6,3,0.5267918358736353,0.5530035335689046,0.0018656716417910447,0.05037313432835821,0.308605971963189,0.30562237971691997,0.24366024851207024,-0.5676494519440447,-0.6581199915960028,0.15671641791044777,-0.6404798425371102
100,8,5,0.5558613733452877,0.4876325088339223,0.026119402985074626,0.09701492537313433,0.2768409701729439,0.2821194963707807,0.21116519003397793,-0.476431552256198,-0.5869486084472582,0.24253731343283583,-0.6417188224116889
225,5,7,0.5383319708876114,0.5918727915194346,0.054104477611940295,0.15858208955223882,0.3088472804989759,0.2997060160419631,0.24520576724656062,-0.5764716596369631,-0.6581199915960028,0.2537313432835821,-0.6429723645823103
175,4,4,0.5427851906545014,0.5742049469964664,0.06529850746268656,0.11007462686567164,0.3115117559570107,0.3108790705215758,0.2349281706633901,-0.5786970696055509,-0.6581199915960025,0.32276119402985076,-0.645437819201158
225,8,5,0.5411865144243447,0.5901060070671378,0.033582089552238806,0.15485074626865672,0.3045550677895572,0.30045724156646236,0.2507327107689199,-0.5599574754997222,-0.6724118787238103,0.24440298507462688,-0.6470137324287986
250,4,7,0.5441234639523232,0.6007067137809188,0.05783582089552239,0.1921641791044776,0.30517995688173444,0.29926486443091305,0.2369372759785655,-0.5805315441347207,-0.6581199915960025,0.26492537313432835,-0.6509308187976535
225,4,3,0.5464143505089394,0.5141342756183745,0.0,0.014925373134328358,0.30572450839968507,0.309017095148864,0.23722713581291122,-0.5770423912888496,-0.6581199915960025,0.15298507462686567,-0.6531909869839742
150,5,5,0.5479767681029482,0.5247349823321554,0.0,0.026119402985074626,0.30604953771738497,0.3032424937935638,0.245097006739754,-0.5742326643746504,-0.6724118787238105,0.06529850746268656,-0.6551750116302117
100,5,6,0.5478646959548547,0.5759717314487632,0.0018656716417910447,0.2332089552238806,0.2969657426160685,0.28940675896895707,0.23276018623740447,-0.5452883486705551,-0.6402196258987871,0.2966417910447761,-0.6553192443677065
125,0,7,0.5745279784821475,0.5,0.054104477611940295,0.20335820895522388,0.30029434323822746,0.29041672860312184,0.22898898340918072,-0.6443907691763351,-0.747884875423365,0.48134328358208955,-0.656396461617592
225,2,1,0.5473471863298349,0.549469964664311,0.009328358208955223,0.033582089552238806,0.2970987056607761,0.29008511671467696,0.23825013685841356,-0.5325597115557391,-0.6098859460050228,0.16417910447761194,-0.6603270312028086
250,4,2,0.5446871209324403,0.5777385159010601,0.0,0.166044776119403,0.29945993264557097,0.3029344026234899,0.22757624130746112,-0.5572487841465235,-0.6581199915960028,0.208955223880597,-0.6609241574493885
200,3,5,0.5472252254627921,0.5512367491166078,0.005597014925373134,0.061567164179104475,0.3135404857817902,0.30868461463306196,0.245642209094054,-0.6071792108807123,-0.6581199915960025,0.2947761194029851,-0.661042573214544
175,8,7,0.5587818416750172,0.6166077738515902,0.06529850746268656,0.22014925373134328,0.2984404375359242,0.2898550672323543,0.24722692293748194,-0.5538754057605579,-0.6507727375691076,0.2555970149253731,-0.6616348677473518
250,1,8,0.560874953852645,0.5971731448763251,0.08022388059701492,0.24440298507462688,0.3001965084629083,0.2884365712144903,0.23183700217144643,-0.6144761940949081,-0.7144531351500916,0.4141791044776119,-0.6624284688699534
225,1,5,0.544535493908549,0.5830388692579506,0.03171641791044776,0.14365671641791045,0.30953308212367825,0.3054900324961489,0.22588633656149582,-0.6164609103825405,-0.6814168625108687,0.3824626865671642,-0.6630666903967369
175,7,5,0.553389193607932,0.5724381625441696,0.013059701492537313,0.09328358208955224,0.2995911022296352,0.303881737913108,0.24853688325090917,-0.5557526708765683,-0.6724118787238105,0.12313432835820895,-0.6641543641791742
125,0,0,0.5630570645008175,0.568904593639576,0.05783582089552239,0.09328358208955224,0.28423072155666884,0.2796741235824567,0.23419141188328796,-0.5057286011455968,-0.5626652367002032,0.1455223880597015,-0.6650411062598734
225,6,2,0.5544736564527187,0.568904593639576,0.0,0.12686567164179105,0.2985587923204862,0.29337864883547504,0.244058237932665,-0.5450538102270083,-0.6581199915960023,0.11380597014925373,-0.6659818974833381
250,1,7,0.5571534992880122,0.6042402826855123,0.08395522388059702,0.20149253731343283,0.3034451992885715,0.2953106906055065,0.2220988208320318,-0.6131174628768546,-0.6897771497982121,0.373134328358209,-0.6667800939320971
175,3,7,0.5521102526238068,0.5565371024734982,0.0,0.06716417910447761,0.3144466404395637,0.3036519223890193,0.2533409644506206,-0.6124974207916344,-0.6581199915960025,0.2835820895522388,-0.6672144367421766
200,3,6,0.5478515109962555,0.568904593639576,0.0037313432835820895,0.04291044776119403,0.3143946095175419,0.3060949350167921,0.25273812814861896,-0.6098601706297402,-0.6581199915960024,0.27238805970149255,-0.6683576701315308
100,0,1,0.5627340330151362,0.5636042402826855,0.033582089552238806,0.07462686567164178,0.27627724518710134,0.27178879467546313,0.2324109516349624,-0.4676747658658795,-0.5159295159429522,0.15111940298507462,-0.6687926324718839
125,6,7,0.5645008174674332,0.5724381625441696,0.05783582089552239,0.07649253731343283,0.3039129535790672,0.29649047944600126,0.24462295429630165,-0.5699047736100372,-0.6319421680593567,0.12126865671641791,-0.6696448368430665
225,5,3,0.5576017878803861,0.5441696113074205,0.0,0.08208955223880597,0.30084890509772666,0.30469075160536097,0.224306567908229,-0.5704589478239893,-0.6581199915960025,0.28544776119402987,-0.6726871798878172
175,2,8,0.556233848425716,0.5777385159010601,0.0037313432835820895,0.10074626865671642,0.3135522203489391,0.30285494126134327,0.2502997367430859,-0.611474954230087,-0.6581199915960025,0.26865671641791045,-0.675549212678247
150,1,8,0.5543813617425242,0.6289752650176679,0.05970149253731343,0.12313432835820895,0.3126917867239645,0.30795524963085685,0.2431163454136842,-0.6119567255606901,-0.6581199915960025,0.35261194029850745,-0.6771955627452099
175,3,5,0.560874953852645,0.5636042402826855,0.0037313432835820895,0.10074626865671642,0.31028951082026546,0.3117597289236811,0.23663306025041586,-0.6048409404510937,-0.6581199915960025,0.34888059701492535,-0.6780275388839294
150,0,6,0.5717986920521069,0.5441696113074205,0.016791044776119403,0.14365671641791045,0.3032316000516155,0.29547017904459527,0.23676511105329778,-0.6152215366295108,-0.7052901380544301,0.4141791044776119,-0.6780284611114908
175,8,0,0.5695572490902379,0.5795053003533569,0.04477611940298507,0.10820895522388059,0.2735490023508611,0.2735490590738532,0.22064469053120517,-0.47108420024512887,-0.5220426867140324,0.20335820895522388,-0.6792195983182916
225,2,6,0.5578885607299193,0.588339222614841,0.029850746268656716,0.07276119402985075,0.30675859528762645,0.30192139463935797,0.2360740851297476,-0.6035487684063204,-0.6582041473672949,0.3451492537313433,-0.6815092205242811
150,3,8,0.5680080164548283,0.5918727915194346,0.03917910447761194,0.11753731343283583,0.3143591685697517,0.300357372090434,0.2539969129904611,-0.6241801140378046,-0.678306206376479,0.31343283582089554,-0.6820804720674979
