period,sma,buy_buffer,sell_buffer,cagr,max_drawdown,calmar,sharpe,trades,exposure,final_value
qqq_real_1999_synth_tqqq,100,8,5,0.15013376145342816,-0.9060843049982911,0.16569513523767673,0.5366235718023853,41,0.5961145194274029,45.0180169180745
qqq_real_1999_synth_tqqq,100,8,6,0.14268509739725754,-0.9200155292817916,0.1550898793074117,0.52061513019899,37,0.6383289512123868,37.72122697080674
qqq_real_1999_synth_tqqq,100,8,7,0.15781637857215092,-0.942722825859752,0.16740485564060067,0.5470597241631061,33,0.6640373940987437,53.96097641186664
qqq_real_1999_synth_tqqq,100,8,8,0.12470412242170781,-0.9695052208363897,0.12862656099378802,0.4889581003473865,33,0.6671048787613205,24.496710185889068
qqq_real_1999_synth_tqqq,125,0,0,0.1537310803385854,-0.9381635859911883,0.16386383210148311,0.5411217873275422,261,0.7085889570552147,49.011626374693186
qqq_real_1999_synth_tqqq,125,0,1,0.17514182981560888,-0.9336006539453915,0.18759822958077463,0.5779708410092292,163,0.7240724510663161,80.8435777739
qqq_real_1999_synth_tqqq,125,0,2,0.18871183835369854,-0.9437957454026609,0.1999498718583294,0.5993559713251844,109,0.7418930762489044,110.49880729903188
qqq_real_1999_synth_tqqq,125,0,3,0.1805554923157866,-0.9565375260749845,0.18875944476184886,0.5847714787385967,85,0.7540169442009933,91.61654018548424
qqq_real_1999_synth_tqqq,125,0,4,0.18509957126383703,-0.9623172212481929,0.1923477697133487,0.5910918096191945,73,0.7662868828513,101.71468063963277
qqq_real_1999_synth_tqqq,125,0,5,0.18984572198343086,-0.9579836366270491,0.19817219702400757,0.5973593334190194,59,0.780601811276658,113.40369454073236
qqq_real_1999_synth_tqqq,125,0,6,0.1687219716256434,-0.9695120759178675,0.1740277154009753,0.5633618438677472,53,0.7880514168857727,69.64569122223772
qqq_real_1999_synth_tqqq,125,0,7,0.11667624986329872,-0.9807180684581139,0.11897022560901448,0.48012960736876553,51,0.7981302950628104,20.157448074146618
qqq_real_1999_synth_tqqq,125,0,8,0.11454449310308812,-0.9789967922560429,0.11700190849361906,0.478060188921241,45,0.81302950628104,19.13590585979168
qqq_real_1999_synth_tqqq,125,1,0,0.13672492618176002,-0.9517523604875375,0.14365598853017011,0.5107686255290139,185,0.6894536955886649,32.71682559069075
qqq_real_1999_synth_tqqq,125,1,1,0.15366118213805335,-0.9459407001839827,0.16244272194669995,0.5408682226758594,133,0.7066900379783816,48.9308739630802
qqq_real_1999_synth_tqqq,125,1,2,0.1817947714242225,-0.9542410756920031,0.190512414582853,0.5886592544334679,93,0.7230499561787905,94.270437922491
qqq_real_1999_synth_tqqq,125,1,3,0.16908365599254038,-0.9635678387349844,0.17547664958859677,0.5662677996928974,77,0.7361963190184049,70.2346914129739
qqq_real_1999_synth_tqqq,125,1,4,0.16974802245427112,-0.9684126339708985,0.17528480783881653,0.5663719252847934,67,0.7508033888401987,71.32913208738735
qqq_real_1999_synth_tqqq,125,1,5,0.1811504904435426,-0.9633022293946167,0.18805156358600547,0.5839292087925142,55,0.7658486707566462,92.88161100982943
qqq_real_1999_synth_tqqq,125,1,6,0.168794670061172,-0.9733713545299182,0.1734124075828079,0.5636601836733333,49,0.7766579024247736,69.7636966869391
qqq_real_1999_synth_tqqq,125,1,7,0.12231110462399308,-0.9831588494636739,0.12440624899090864,0.488955332831386,47,0.7868828513000292,23.116992346236422
qqq_real_1999_synth_tqqq,125,1,8,0.12233330423527966,-0.9816554590190651,0.1246193897373353,0.4901443745665238,41,0.8026584867075665,23.129440814042464
qqq_real_1999_synth_tqqq,125,2,0,0.12341790924478202,-0.9630045581311042,0.12815921607297295,0.4861992310726659,145,0.6690037978381537,23.74556199742799
qqq_real_1999_synth_tqqq,125,2,1,0.13806162658960597,-0.9562558489885938,0.14437728850038412,0.5132063229679991,113,0.6858019281332165,33.78023064860751
qqq_real_1999_synth_tqqq,125,2,2,0.17622623094931034,-0.9443972316169271,0.18660180806289406,0.5799389747386833,81,0.7090271691498685,82.898745970496
qqq_real_1999_synth_tqqq,125,2,3,0.17152096071568912,-0.9560443540174366,0.17940690721610691,0.5709654732165856,67,0.726409582237803,74.33078734195462
qqq_real_1999_synth_tqqq,125,2,4,0.1789606885391153,-0.9616174325837347,0.1861038313940216,0.582280000422219,57,0.7398480864738534,88.30703327495347
qqq_real_1999_synth_tqqq,125,2,5,0.2005324882540136,-0.9516832693773627,0.21071347443694335,0.6158577195980734,47,0.7550394390885189,144.6498191637804
qqq_real_1999_synth_tqqq,125,2,6,0.17979705284804148,-0.9649404018609534,0.1863296971515449,0.5817237612871544,43,0.7670172363423897,90.02801093165914
qqq_real_1999_synth_tqqq,125,2,7,0.12486050596030118,-0.9787816170957662,0.1275672772960187,0.49261854047445136,43,0.7749050540461584,24.589583755210292
qqq_real_1999_synth_tqqq,125,2,8,0.11559698875924895,-0.9825158004534461,0.11765407610330457,0.4785700787697394,39,0.7946245983055799,19.63386897208026
qqq_real_1999_synth_tqqq,125,3,0,0.10254836528976718,-0.9710481549760448,0.1056058494774618,0.4458783802639557,121,0.6393514460999123,14.253967278265339
qqq_real_1999_synth_tqqq,125,3,1,0.10802331255429598,-0.9654821067132784,0.11188535945221399,0.45694549590961875,101,0.6580484954718083,16.311211803500996
qqq_real_1999_synth_tqqq,125,3,2,0.13713691011926787,-0.9613372142914741,0.1426522432301143,0.5111929566885324,77,0.6872626351153959,33.04109097510199
qqq_real_1999_synth_tqqq,125,3,3,0.13021746084414199,-0.9698232256914198,0.1342692744353545,0.4991165230077825,67,0.7020157756354075,27.983958440001555
qqq_real_1999_synth_tqqq,125,3,4,0.14667554257180582,-0.9696897398647343,0.15126028103820727,0.5277685628187528,57,0.7212971078001753,41.475528779255086
qqq_real_1999_synth_tqqq,125,3,5,0.17547048544910404,-0.9594303129961713,0.1828902871550237,0.5753791142705585,47,0.7427695004382121,81.46120887583191
qqq_real_1999_synth_tqqq,125,3,6,0.16001404203386538,-0.9705618135860637,0.16486744048031338,0.5496158575889201,43,0.7613204791118902,56.81912549551234
qqq_real_1999_synth_tqqq,125,3,7,0.10599867925872286,-0.983874162789284,0.10773601266061965,0.4609366082351099,43,0.7692082968156588,15.519154880921354
qqq_real_1999_synth_tqqq,125,3,8,0.09902943720285906,-0.9853191949460288,0.10050493049441042,0.45095823551384506,39,0.78965819456617,13.06621382428908
qqq_real_1999_synth_tqqq,125,4,0,0.09880361545685323,-0.9558360170945195,0.10336879306681626,0.43784222225989894,105,0.6102833771545428,12.993339130911568
qqq_real_1999_synth_tqqq,125,4,1,0.11897283223994926,-0.9433141633446095,0.1261221731454978,0.4778757902827374,87,0.630879345603272,21.316713457795164
qqq_real_1999_synth_tqqq,125,4,2,0.16198960170937693,-0.9381356341657938,0.17267183529748428,0.5572813036293299,65,0.6622845457201285,59.51244062219553
qqq_real_1999_synth_tqqq,125,4,3,0.14854694119610623,-0.9524562799844847,0.1559619526037731,0.5323293645351614,59,0.6764534034472685,43.357775563830444
qqq_real_1999_synth_tqqq,125,4,4,0.16359432587578282,-0.9545598043126413,0.1713819554696038,0.5578122709125171,51,0.6952965235173824,61.790305032700495
qqq_real_1999_synth_tqqq,125,4,5,0.17284522893256082,-0.9521198566250028,0.18153725891743144,0.5723259773647165,45,0.7166228454572013,76.65183007616213
qqq_real_1999_synth_tqqq,125,4,6,0.16095904859331234,-0.9628122832789836,0.16717594009617864,0.5517206523855559,41,0.7375109553023663,58.0924840838173
qqq_real_1999_synth_tqqq,125,4,7,0.1068996821507282,-0.9801302540114991,0.10906681200096292,0.4606405527584335,41,0.745398773006135,15.866950609534253
qqq_real_1999_synth_tqqq,125,4,8,0.11045482367814641,-0.9775124553108392,0.11299582228138759,0.46796637774757055,37,0.7703768624014022,17.31397180299079
qqq_real_1999_synth_tqqq,125,5,0,0.11640971711196535,-0.9326836413354275,0.12481157806658702,0.47387488708242936,85,0.5788781770376863,20.026909012067495
qqq_real_1999_synth_tqqq,125,5,1,0.1173467961701371,-0.9418689912274812,0.12458929772940723,0.47514989943784686,75,0.6056091148115688,20.489494809367148
qqq_real_1999_synth_tqqq,125,5,2,0.16872981124032305,-0.9486229676012734,0.17786814888846736,0.5716917598848693,57,0.6405200116856559,69.65840737682417
qqq_real_1999_synth_tqqq,125,5,3,0.16459037310827518,-0.9584535703830696,0.17172493086179708,0.5627280993168084,51,0.6557113643003214,63.24616449594762
qqq_real_1999_synth_tqqq,125,5,4,0.17684861799150653,-0.9570941219365152,0.18477662116833796,0.5823059519515387,45,0.6763073327490505,84.1009351073844
qqq_real_1999_synth_tqqq,125,5,5,0.18155485036929142,-0.9547902564627091,0.19015155332848996,0.5881645445685135,41,0.7015775635407537,93.75093695790395
qqq_real_1999_synth_tqqq,125,5,6,0.15926723807724152,-0.9648863387369783,0.16506321178276806,0.549232845297118,39,0.726555652936021,55.83189837681788
qqq_real_1999_synth_tqqq,125,5,7,0.10864599596698388,-0.9807197471243851,0.11078189899362173,0.46277972154807584,39,0.7331288343558282,16.562543408352273
qqq_real_1999_synth_tqqq,125,5,8,0.11487258721587446,-0.9787666440299087,0.11736463223031969,0.4745987652274651,35,0.7578147823546597,19.289815802305583
qqq_real_1999_synth_tqqq,125,6,0,0.12659343365518216,-0.8616554513375622,0.14691885655533085,0.4958198953711057,73,0.5531697341513292,25.64171073617296
qqq_real_1999_synth_tqqq,125,6,1,0.1430427909896843,-0.8720279434130683,0.16403464140130977,0.5275781731025593,63,0.5791703184341221,38.043922795308006
qqq_real_1999_synth_tqqq,125,6,2,0.18622650621961467,-0.8838115147045278,0.21070839553597936,0.6063060150436792,49,0.6224072451066316,104.38025347263223
qqq_real_1999_synth_tqqq,125,6,3,0.1800611751295269,-0.9221421137955318,0.19526401889226827,0.5931232819201067,45,0.6392053754016944,90.57817250090068
qqq_real_1999_synth_tqqq,125,6,4,0.19511039456955714,-0.919594511428046,0.21217002944761879,0.6166506861074055,39,0.6618463336254747,127.8828249646373
qqq_real_1999_synth_tqqq,125,6,5,0.19227736733993872,-0.911198326126005,0.2110159356387466,0.6091125770921259,37,0.682150160677768,119.88339638658445
qqq_real_1999_synth_tqqq,125,6,6,0.17861781202176186,-0.9176643795789937,0.19464394172486915,0.5836772688409233,35,0.7090271691498685,87.61069738762043
qqq_real_1999_synth_tqqq,125,6,7,0.12839158408056073,-0.9596476948494764,0.13379033239974522,0.4963532322554024,35,0.7153082091732399,26.77923045629274
qqq_real_1999_synth_tqqq,125,6,8,0.1402960695797062,-0.9484112200107662,0.14792746713615806,0.5171856090021825,31,0.740870581361379,35.632584232474485
qqq_real_1999_synth_tqqq,125,7,0,0.09654594358483903,-0.9032080941393225,0.10689224798947222,0.4328759305054342,67,0.5109553023663453,12.285965485418066
qqq_real_1999_synth_tqqq,125,7,1,0.11821444025775008,-0.9207361106095271,0.12839122838300776,0.4783331805957442,59,0.544405492258253,20.926968326828707
qqq_real_1999_synth_tqqq,125,7,2,0.16169700252104602,-0.9012191836519048,0.1794202847145577,0.5621130243145235,47,0.5969909436167105,59.10591715498929
qqq_real_1999_synth_tqqq,125,7,3,0.1591485492661564,-0.9338069900915201,0.1704298114651708,0.5559979713036082,43,0.6153958515921706,55.67652889651409
qqq_real_1999_synth_tqqq,125,7,4,0.18218386093776529,-0.9316410763096972,0.19555155474617944,0.5948733737754069,37,0.6470931931054631,95.11883331336418
qqq_real_1999_synth_tqqq,125,7,5,0.18453107902705623,-0.9245028298971005,0.1996003398362718,0.59671104561545,35,0.6691498685363716,100.39501257183795
qqq_real_1999_synth_tqqq,125,7,6,0.17339847383984885,-0.9384126883240071,0.18477848392005045,0.5754265358658768,33,0.6964650891031259,77.64203907633829
qqq_real_1999_synth_tqqq,125,7,7,0.12480077660700828,-0.9698163445973618,0.12868495906698887,0.489926987861112,33,0.7024539877300614,24.55407152820374
qqq_real_1999_synth_tqqq,125,7,8,0.14140052784566004,-0.960853103758411,0.14716144152791602,0.5191467500213326,29,0.726701723634239,36.58393955557937
qqq_real_1999_synth_tqqq,125,8,0,0.0869260600141657,-0.8816304770001511,0.09859693180065825,0.41165903500260426,61,0.4747297692082968,9.666172102890418
qqq_real_1999_synth_tqqq,125,8,1,0.11701175495231397,-0.8994616925516059,0.13009087093011526,0.476885109140952,53,0.5083260297984225,20.32293307103994
qqq_real_1999_synth_tqqq,125,8,2,0.16403284008604668,-0.8634502330819129,0.18997370525984372,0.5689626254833435,43,0.5650014607069822,62.4272313795737
qqq_real_1999_synth_tqqq,125,8,3,0.1647468899652651,-0.9096204623433239,0.18111607729321685,0.5686391942245169,39,0.5848670756646217,63.47791851104239
qqq_real_1999_synth_tqqq,125,8,4,0.177627537635197,-0.8967739663700425,0.19807392308030186,0.5884956869461008,35,0.621530820917324,85.62915316034021
qqq_real_1999_synth_tqqq,125,8,5,0.17715840839769825,-0.9183212599369431,0.19291550367663587,0.5855369517162489,33,0.6432953549517967,84.70556186289593
qqq_real_1999_synth_tqqq,125,8,6,0.1666373723772212,-0.9355447399336201,0.17811801538111866,0.5649010189692858,31,0.6707566462167689,66.34256775381692
qqq_real_1999_synth_tqqq,125,8,7,0.1321717842686354,-0.9558378165326784,0.13827846312682135,0.5031230511544031,31,0.6755769792579609,29.331241561902576
qqq_real_1999_synth_tqqq,125,8,8,0.15774088785334617,-0.9312979898797819,0.1693774598114492,0.5476813243085473,27,0.7185217645340345,53.86530055067945
qqq_real_1999_synth_tqqq,150,0,0,0.1454728674066066,-0.9878004683976723,0.14726948615703794,0.5263301422338411,221,0.7198364008179959,40.307697199672376
qqq_real_1999_synth_tqqq,150,0,1,0.17161527083782313,-0.9853162100268426,0.17417278746804327,0.5707682494544211,129,0.7331288343558282,74.49382021782272
qqq_real_1999_synth_tqqq,150,0,2,0.15953917159376352,-0.9767802459228379,0.16333169334627037,0.549296022750724,105,0.7427695004382121,56.18944889732583
qqq_real_1999_synth_tqqq,150,0,3,0.1792059562997621,-0.9678925284622913,0.1851506763715491,0.5811458560112995,81,0.7560619339760444,88.80840644063491
qqq_real_1999_synth_tqqq,150,0,4,0.13969953075202368,-0.9707191432903677,0.14391343955420055,0.5162370341813023,75,0.7649722465673386,35.12869750781996
qqq_real_1999_synth_tqqq,150,0,5,0.14216618049167584,-0.9778190360167579,0.14539109513638002,0.5206303215503062,61,0.7768039731229915,37.25776531654809
qqq_real_1999_synth_tqqq,150,0,6,0.12985023394515127,-0.9761221655766489,0.1330266215893598,0.5007383098483997,53,0.7846917908267601,27.737540201951028
qqq_real_1999_synth_tqqq,150,0,7,0.1353417510640278,-0.9687794946906816,0.13970336057457597,0.5102128905790962,47,0.7973999415717207,31.650422970343772
qqq_real_1999_synth_tqqq,150,0,8,0.1309310908426442,-0.9708822638701915,0.1348578460180316,0.5036571124437301,43,0.8054338299737073,28.46886589330892
qqq_real_1999_synth_tqqq,150,1,0,0.1505191323765367,-0.9802508739760872,0.15355164312784741,0.5358312626225428,161,0.7039146947122408,45.43036644080681
qqq_real_1999_synth_tqqq,150,1,1,0.1822242753781278,-0.9738877358177013,0.18711014491329186,0.5898220893007297,101,0.7198364008179959,95.20737596826442
qqq_real_1999_synth_tqqq,150,1,2,0.17491417363644968,-0.9657267524412487,0.18112180613645246,0.575827153459157,85,0.7302074203914695,80.41839853242735
qqq_real_1999_synth_tqqq,150,1,3,0.19972911463850362,-0.9517645547094623,0.2098513898739099,0.6153878355099428,65,0.7440841367221736,142.03828023150862
qqq_real_1999_synth_tqqq,150,1,4,0.176210758986727,-0.956988652331991,0.18413045813796897,0.5763603302365339,61,0.7516798130295063,82.86907255938061
qqq_real_1999_synth_tqqq,150,1,5,0.1649838599388047,-0.9713468486557143,0.16985061532565063,0.5578312367031854,51,0.7623429739994158,63.830356702222396
qqq_real_1999_synth_tqqq,150,1,6,0.16251843784879938,-0.9691548480930327,0.16769088878684396,0.5531568861167638,43,0.7700847210049664,60.254023352247245
qqq_real_1999_synth_tqqq,150,1,7,0.15334704279161637,-0.9683719125697743,0.1583555251872996,0.5385377846265067,41,0.7832310838445807,48.56953276190653
qqq_real_1999_synth_tqqq,150,1,8,0.15490347500095303,-0.9705021332947821,0.15961167903368467,0.5411236431948372,37,0.792141396435875,50.38536500844717
qqq_real_1999_synth_tqqq,150,2,0,0.1208799549206403,-0.9791549753340254,0.12345334289845562,0.48195440685792396,137,0.6868244230207421,22.32794945287037
qqq_real_1999_synth_tqqq,150,2,1,0.15120876897922852,-0.9673279757462725,0.15631592672854752,0.5366275992734562,93,0.7049371895997663,46.17738047159749
qqq_real_1999_synth_tqqq,150,2,2,0.14936754433254662,-0.9519780145023623,0.1569023045249917,0.5325444859588471,79,0.7151621384750219,44.208843213746405
qqq_real_1999_synth_tqqq,150,2,3,0.16734226221383453,-0.9485468135916464,0.17641961347189355,0.5623940714113944,63,0.7316681273736488,67.44223438954572
qqq_real_1999_synth_tqqq,150,2,4,0.1492787250651577,-0.9541194058455038,0.15645706831931866,0.531652415753942,59,0.7398480864738534,44.11595568923887
qqq_real_1999_synth_tqqq,150,2,5,0.15436012879236705,-0.9642172611287219,0.1600885350379142,0.5404879665937061,49,0.752410166520596,49.744156624714755
qqq_real_1999_synth_tqqq,150,2,6,0.15734517433829454,-0.9614798385395736,0.163648958648256,0.5447872875492019,41,0.7638036809815951,53.366446109037916
qqq_real_1999_synth_tqqq,150,2,7,0.15004415668636417,-0.960502089982524,0.1562142948477022,0.5331257053849107,39,0.7778264680105171,44.92265707894759
qqq_real_1999_synth_tqqq,150,2,8,0.15484621402301313,-0.9631623604367314,0.16076854784150874,0.5409143682472212,35,0.7876132047911188,50.31741725588597
qqq_real_1999_synth_tqqq,150,3,0,0.12517193856850795,-0.9813281213546946,0.127553603982847,0.49029863778773286,109,0.6646216768916156,24.775549697653265
qqq_real_1999_synth_tqqq,150,3,1,0.14897893616318125,-0.9802284814601203,0.15198388843105895,0.5336353502897901,79,0.6875547765118317,43.80382142867446
qqq_real_1999_synth_tqqq,150,3,2,0.16902453690505737,-0.9642850024186808,0.17528483433953584,0.567807696381576,65,0.6989482909728308,70.13808948308191
qqq_real_1999_synth_tqqq,150,3,3,0.17320575018707962,-0.960127495423424,0.18039869810279152,0.57329006848707,55,0.7164767747589833,77.29570794331018
qqq_real_1999_synth_tqqq,150,3,4,0.15061413690802228,-0.9644458520822692,0.15616650388701614,0.5343018803817539,53,0.7248028045574058,45.53257958155564
qqq_real_1999_synth_tqqq,150,3,5,0.14810144626795418,-0.972270960867531,0.1523252799155981,0.5302980357176315,45,0.740578439964943,42.90237424789915
qqq_real_1999_synth_tqqq,150,3,6,0.14350271561225925,-0.9701496560012474,0.1479181224510734,0.5222235743473553,39,0.7529944493134677,38.46275655516214
qqq_real_1999_synth_tqqq,150,3,7,0.13955171560756163,-0.9693919714624065,0.14395798574341043,0.5160133256780337,37,0.7667250949459539,35.00490559283661
qqq_real_1999_synth_tqqq,150,3,8,0.14632425289571294,-0.9714534889944499,0.15062404382033046,0.5272853277776157,33,0.7801635991820041,41.13108880644691
qqq_real_1999_synth_tqqq,150,4,0,0.13142181375739637,-0.9619360918958693,0.13662218817299865,0.5028651370239232,89,0.6313175576979257,28.806994894960972
qqq_real_1999_synth_tqqq,150,4,1,0.15079331981090682,-0.9695187467479207,0.15553419706087826,0.537753351948841,69,0.6615541922290389,45.725961459631456
